[ 2015-12-09T14:30:05+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (190).
[ 2015-12-09T14:30:05+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (199).
[ 2015-12-09T14:30:05+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (219).
[ 2015-12-09T14:30:05+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (223).
[ 2015-12-09T14:31:10+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (185).
[ 2015-12-09T14:31:10+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (190).
[ 2015-12-09T14:31:10+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (199).
[ 2015-12-09T14:31:10+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (219).
[ 2015-12-09T14:31:10+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (223).
[ 2015-12-09T14:31:41+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (185).
[ 2015-12-09T14:31:41+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (190).
[ 2015-12-09T14:31:41+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (199).
[ 2015-12-09T14:31:41+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (219).
[ 2015-12-09T14:31:41+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (223).
[ 2015-12-09T14:31:43+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (185).
[ 2015-12-09T14:31:43+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (190).
[ 2015-12-09T14:31:43+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (199).
[ 2015-12-09T14:31:43+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (219).
[ 2015-12-09T14:31:43+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (223).
[ 2015-12-09T14:35:01+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (186).
[ 2015-12-09T14:35:01+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (186).
[ 2015-12-09T14:35:01+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (225).
[ 2015-12-09T14:35:59+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (186).
[ 2015-12-09T14:35:59+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (186).
[ 2015-12-09T15:14:09+08:00 ]NOTICE: Undefined index: gidD:\wamp\www\shangcheng\App\Home\Controller\GoodsController.php (15).
[ 2015-12-09T15:14:09+08:00 ]NOTICE: Division by zeroD:\wamp\www\shangcheng\Storage\view\compile\ee718b02a1111bfb309b30fb46dc9d5a.php (939).
[ 2015-12-09T15:14:09+08:00 ]NOTICE: Undefined variable: specD:\wamp\www\shangcheng\Storage\view\compile\ee718b02a1111bfb309b30fb46dc9d5a.php (1031).
[ 2015-12-09T15:14:09+08:00 ]NOTICE: Invalid argument supplied for foreach()D:\wamp\www\shangcheng\Storage\view\compile\ee718b02a1111bfb309b30fb46dc9d5a.php (1031).
[ 2015-12-09T15:14:09+08:00 ]NOTICE: Undefined index: gidD:\wamp\www\shangcheng\Storage\view\compile\ee718b02a1111bfb309b30fb46dc9d5a.php (1068).
[ 2015-12-09T15:14:09+08:00 ]NOTICE: Undefined variable: taidD:\wamp\www\shangcheng\Storage\view\compile\ee718b02a1111bfb309b30fb46dc9d5a.php (1127).
[ 2015-12-09T15:14:09+08:00 ]NOTICE: Undefined variable: taidD:\wamp\www\shangcheng\Storage\view\compile\ee718b02a1111bfb309b30fb46dc9d5a.php (1143).
[ 2015-12-09T16:34:59+08:00 ]NOTICE: Undefined index: cartD:\wamp\www\shangcheng\Storage\view\compile\6b9b6d44bc2e782f19a8c4d9413d2c92.php (28).
[ 2015-12-09T16:34:59+08:00 ]NOTICE: Undefined index: cartD:\wamp\www\shangcheng\Storage\view\compile\6b9b6d44bc2e782f19a8c4d9413d2c92.php (33).
[ 2015-12-09T16:34:59+08:00 ]NOTICE: Invalid argument supplied for foreach()D:\wamp\www\shangcheng\Storage\view\compile\6b9b6d44bc2e782f19a8c4d9413d2c92.php (33).
[ 2015-12-09T16:35:01+08:00 ]NOTICE: Undefined index: cartD:\wamp\www\shangcheng\Storage\view\compile\6b9b6d44bc2e782f19a8c4d9413d2c92.php (28).
[ 2015-12-09T16:35:01+08:00 ]NOTICE: Undefined index: cartD:\wamp\www\shangcheng\Storage\view\compile\6b9b6d44bc2e782f19a8c4d9413d2c92.php (33).
[ 2015-12-09T16:35:01+08:00 ]NOTICE: Invalid argument supplied for foreach()D:\wamp\www\shangcheng\Storage\view\compile\6b9b6d44bc2e782f19a8c4d9413d2c92.php (33).
[ 2015-12-09T17:23:02+08:00 ]NOTICE: Undefined variable: totalD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (233).
[ 2015-12-09T17:23:19+08:00 ]NOTICE: Undefined variable: totalD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (233).
[ 2015-12-09T17:24:28+08:00 ]NOTICE: Undefined variable: totalD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (233).
[ 2015-12-09T17:24:57+08:00 ]NOTICE: Undefined variable: totalD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (233).
[ 2015-12-09T18:50:41+08:00 ]NOTICE: Undefined index: cartD:\wamp\www\shangcheng\App\Home\Controller\ShoppingCartController.php (16).
[ 2015-12-09T18:50:41+08:00 ]NOTICE: Invalid argument supplied for foreach()D:\wamp\www\shangcheng\App\Home\Controller\ShoppingCartController.php (16).
[ 2015-12-09T18:50:42+08:00 ]NOTICE: Undefined index: cartD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (52).
[ 2015-12-09T18:50:42+08:00 ]NOTICE: Undefined index: cartD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (57).
[ 2015-12-09T18:50:42+08:00 ]NOTICE: Invalid argument supplied for foreach()D:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (57).
[ 2015-12-09T18:50:42+08:00 ]NOTICE: Undefined index: cartD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (174).
[ 2015-12-09T18:50:42+08:00 ]NOTICE: Use of undefined constant Home - assumed 'Home'D:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (257).
[ 2015-12-09T18:50:42+08:00 ]NOTICE: Use of undefined constant Index - assumed 'Index'D:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (257).
